1,1,1,1,1,2025-01-10,2,1850
2,1,1,2,1,2025-01-11,1,2100
3,2,3,4,1,2025-01-15,3,1560
4,2,4,6,2,2025-02-10,2,2430
5,3,5,7,2,2025-02-12,1,1890
6,3,6,8,2,2025-02-15,5,2720
7,4,7,9,3,2025-03-01,1,1980
8,4,8,10,3,2025-03-05,3,1650
9,5,9,11,3,2025-03-10,2,2210
10,6,10,12,3,2025-04-02,1,2550
11,6,11,13,4,2025-04-05,2,1730
12,6,12,14,4,2025-04-05,1,2680
13,7,13,15,4,2025-04-10,5,1920
14,7,14,16,4,2025-04-10,3,1480
15,8,15,17,5,2025-04-14,1,2350
16,8,16,18,5,2025-05-01,2,2140
17,8,17,19,5,2025-05-02,1,2610
18,9,18,20,5,2025-05-10,1,1820
19,10,19,21,1,2025-05-12,1,2750
20,10,20,22,1,2025-05-15,1,1550
21,10,21,23,2,2025-05-20,2,1970
22,11,22,24,2,2025-05-28,1,2280
23,12,23,25,3,2025-06-03,3,2490
24,12,24,26,3,2025-06-04,2,1690
25,12,25,27,4,2025-06-10,1,2660
26,13,26,28,4,2025-06-15,4,1440
27,13,27,29,5,2025-06-30,1,2030
28,13,28,30,5,2025-07-01,1,2380
29,14,29,31,1,2025-07-04,12,1520
30,14,30,32,1,2025-07-05,1,2590
31,15,31,33,2,2025-07-08,2,1760
32,15,32,34,2,2025-07-10,3,1880
33,16,33,35,2,2025-07-12,1,2450
34,16,34,36,3,2025-07-14,2,2120
35,16,35,37,3,2025-07-15,1,2710
36,17,36,38,3,2025-07-18,4,1600
37,17,37,39,4,2025-07-19,1,1950
38,18,38,40,4,2025-07-20,2,2250
39,18,39,41,4,2025-07-21,3,1410
40,19,40,42,5,2025-07-22,1,2530
41,19,41,43,5,2025-07-23,2,1840
42,20,42,44,5,2025-07-25,3,2070
43,20,43,45,1,2025-07-26,1,2640
44,21,44,46,1,2025-07-27,4,1460
45,21,45,47,1,2025-07-28,2,2400
46,22,46,48,2,2025-07-29,1,2730
47,22,47,49,2,2025-07-30,3,1670
48,23,48,50,2,2025-08-01,2,2190
49,23,49,51,3,2025-08-02,1,2510
50,24,50,52,3,2025-08-03,2,1790
51,24,51,53,3,2025-08-04,3,1500
52,25,52,54,4,2025-08-05,1,2570
53,25,53,55,4,2025-08-06,2,1910
54,26,54,56,4,2025-08-07,3,2220
55,26,55,57,5,2025-08-08,1,2700
56,27,56,58,5,2025-08-09,2,1640
57,27,57,59,5,2025-08-10,1,2480
58,28,58,60,1,2025-08-11,3,1580
59,28,59,61,1,2025-08-12,2,2310
60,29,60,62,1,2025-08-13,1,2670
61,29,61,63,2,2025-08-14,4,1430
62,30,62,64,2,2025-08-15,2,2050
63,30,63,65,2,2025-08-16,3,1860
64,31,64,66,3,2025-08-17,1,2470
65,31,65,67,3,2025-08-18,2,1700
66,32,66,68,3,2025-08-19,1,2620
67,32,67,69,4,2025-08-20,3,1530
68,33,68,70,4,2025-08-21,2,2170
69,33,69,71,4,2025-08-22,1,2740
70,34,70,72,5,2025-08-23,2,2000
71,34,71,73,5,2025-08-24,3,1810
72,35,72,74,5,2025-08-25,1,2560
73,35,73,75,1,2025-08-26,2,1490
74,36,74,76,1,2025-08-27,1,2340
75,36,75,77,1,2025-08-28,4,1660
76,37,76,78,2,2025-08-29,3,2260
77,37,77,79,2,2025-08-30,2,1960
78,38,78,80,2,2025-08-31,2,2600
79,38,79,81,3,2025-09-01,1,1770
80,39,80,82,3,2025-09-02,3,2160
81,39,81,83,3,2025-09-03,2,2390
82,40,82,84,4,2025-09-04,1,1510
83,40,83,85,4,2025-09-05,2,2690
84,41,84,86,4,2025-09-06,2,1630
85,41,85,87,5,2025-09-07,3,2090
86,42,86,88,5,2025-09-08,1,2580
87,42,87,89,5,2025-09-09,2,1450
88,43,88,90,1,2025-09-10,3,2410
89,43,89,91,1,2025-09-11,2,1780
90,44,90,92,1,2025-09-12,1,2540
91,44,91,93,2,2025-09-13,4,1420
92,45,92,94,2,2025-09-14,3,2150
93,45,93,95,2,2025-09-15,2,1870
94,46,94,96,3,2025-09-16,1,2650
95,46,95,97,3,2025-09-17,2,1720
96,47,96,98,3,2025-09-18,1,2420
97,47,97,99,4,2025-09-19,3,1570
98,48,98,100,4,2025-09-20,2,2360
99,48,99,101,4,2025-09-21,1,2740
100,49,100,102,5,2025-09-22,3,1680
