1,1,1,Lentejas,kcal,116
2,1,1,Garbanzos,kcal,164
3,1,1,Tofu,kcal,76
4,1,1,Arroz Integral,kcal,111
5,1,1,Aguacate,kcal,160
6,1,1,Espinaca,kcal,23
7,1,1,Brocoli,kcal,55
8,1,1,Manzana,kcal,52
9,1,1,Almendras,kcal,579
10,1,1,Leche Almendra,kcal,17
11,2,2,Pollo,kcal,239
12,2,2,Carne Res,kcal,250
13,2,2,Huevo,kcal,155
14,2,2,Leche,kcal,42
15,2,2,Queso,kcal,402
16,2,2,Arroz Blanco,kcal,130
17,2,2,Frijoles,kcal,347
18,2,2,Pan,kcal,265
19,2,2,Tomate,kcal,18
20,2,2,Platano,kcal,89
21,3,3,Salmon,kcal,208
22,3,3,Huevos,kcal,155
23,3,3,Queso Cheddar,kcal,403
24,3,3,Aguacate,kcal,160
25,3,3,Aceite Oliva,kcal,884
26,3,3,Nueces,kcal,654
27,3,3,Espinaca,kcal,23
28,3,3,Brocoli,kcal,55
29,3,3,Mantequilla,kcal,717
30,3,3,Tocino,kcal,541
31,4,4,Atun,kcal,132
32,4,4,Sardinas,kcal,208
33,4,4,Camarones,kcal,99
34,4,4,Arroz,kcal,130
35,4,4,Papas,kcal,77
36,4,4,Zanahoria,kcal,41
37,4,4,Lechuga,kcal,15
38,4,4,Huevo,kcal,155
39,4,4,Yogurt,kcal,59
40,4,4,Frijoles,kcal,347
41,5,5,Quinoa,kcal,120
42,5,5,Lentejas,kcal,116
43,5,5,Pollo,kcal,239
44,5,5,Huevos,kcal,155
45,5,5,Yogurt,kcal,59
46,5,5,Espinaca,kcal,23
47,5,5,Tomate,kcal,18
48,5,5,Avena,kcal,389
49,5,5,Manzana,kcal,52
50,5,5,Chia,kcal,486
